city,side,pc1,address,zip,price,description_snippet
nyc,top_positive,2.4286524331137906,183 Arlington Pl,10303,549999.0,"Well maintained 3 bedroom ranch featuring a spacious fully usable basement . Recent upgrades include Windows, HVAC system, and roof, offering peace of mind for years to come. Enjoy an eat in kitchen perfect for everyday living, along with convenient access to transportation and shopping. Property of"
nyc,top_positive,2.3839821281105906,197 Chesterton Ave,10306,848888.0,"Nestled on a tree line street in Oakwood sit this well maintained split ranch. This home boasts 3 bedrooms with the possibility of a 4th. Hardwood floors under carpets, eat in kitchen with oak cabinets and tile flooring , separate dining room and living room combo with split AC unit and large bay wi"
nyc,top_positive,2.307428893062961,102-34 187th St,11423,749000.0,"Well-kept Brick Single family home featuring 4 Bedrooms, 1.5 Bathrooms, Kitchen with granite countertop , Living room, Dining room, a Pvt Driveway , a Garage, a fenced Backyard . Close to Bus, Shop and more. Key things to know Brick single-family home with white windows and a white fence. Living roo"
nyc,top_positive,2.295271557644679,2424 E 63rd St,11234,1439000.0,2 FAMILY SEMI-DETACHED BRICK 5//5 WITH FINISH BASEMENT INTERIOR STAIRS THRU OUT THE HOUSE CALL FOR APPT Key things to know Brick two-family semi-detached with finished basement and interior stairs throughout. Classic brick exterior with white door and black railings. Front-yard bench and curb appeal
nyc,top_positive,2.2944664371781527,143-47 228th St,11413,799000.0,Detached Renovated Ranch on 40 x 100 Lot in a great neighborhood for a growing Family. Total of 3 entrances. Finished Basement with 2 Large Rooms and a smaller Rm. Full Bath. Basement equipped for an Elderly parent. First Floor Feature Large Living Room with wide Bow Window and shining wood floors. 
nyc,top_positive,2.1522383898838684,3324 Barker Ave,10467,875000.0,"Spacious two-family home with great flexibility! The first floor offers 3 bedrooms and 1 bath, while the second floor features 2 bedrooms and 1 bath. A finished basement and bonus finished attic provide additional living space—perfect for extended family or extra room to grow. Don’t miss this opport"
nyc,top_positive,2.0989001627558945,1829 123rd St,11356,1100000.0,Nice 2 family home with private yard and parking walk to shopping and transportation Key things to know Two-family home with private yard and two parking spaces. White house with green lower-section accents and gray roof. Entrance features white railing and a lamp. Walkable to shopping and transport
nyc,top_positive,2.0858878963466143,8434 169th St,11432,1749000.0,"Welcome to 84-34 169th St, Jamaica, NY 11432 This stunning legal 2 family house is located in the sought-after Jamaica Hills area. This spacious property features 2 units; each offering 3 bedrooms, 2 full bathrooms, and a bright and modern open-concept living, dining and kitchen layout-perfect for c"
nyc,top_positive,1.9897499315673999,8807 Sabre St,11427,875000.0,"This rare opportunity in Bellerose Manor features R3 zoning , making it possible to convert this single-family home into a two-family (with proper permits). The home offers four bedrooms and two full bathrooms. The kitchen and the second floor bathroom have been updated. The home includes a finished"
nyc,top_positive,1.9733137886712635,1911 E 19th St,11229,1399000.0,"Beautifully fully renovated detached home with PRIVATE DRIVEWAY that can park up 4-5 cars and a garage, featuring 3 spacious bedrooms and 3 bathrooms. The top floor offers 3 bedrooms with a full bath with double sink vanity, there are windows on every room for natural lights, while the first floor i"
nyc,top_negative,-1.8990634560778146,160 E 22nd St Unit 3E,10010,995000.0,"Rare opportunity to purchase a studio in one of the best boutique full-service condos in Gramercy! This spacious, sunny and quiet east-facing apartment has a comfortable layout with a gracious entry foyer , high ceilings , wide plank white oak hardwood floors , fully controllable central air/heating"
nyc,top_negative,-1.6963280988830254,234 E 46th St #1105,10017,1015000.0,New Development - Immediate Occupancy - Unrivaled Ease of Ownership This well-designed 627-square-foot one-bedroom condo has a private balcony that extends the living space outdoors and wraps around a large and modern bay window in the living room. The Perrie is a full-service development with a str
nyc,top_negative,-1.6955185632290177,234 E 46th St #1805,10017,1075000.0,New Development - Immediate Occupancy - Unrivaled Ease of Ownership This well-designed 571-square-foot one-bedroom condo has a private balcony that extends the living space outdoors and wraps around a large and modern bay window in the living room. The Perrie is a full-service development with a str
nyc,top_negative,-1.6955185632290177,234 E 46th St #1605,10017,1015000.0,New Development - Immediate Occupancy - Unrivaled Ease of Ownership This well-designed 571-square-foot one-bedroom condo has a private balcony that extends the living space outdoors and wraps around a large and modern bay window in the living room. The Perrie is a full-service development with a str
nyc,top_negative,-1.6892494422217892,234 E 46th St #1401,10017,1085000.0,New Development - Immediate Occupancy - Unrivaled Ease of Ownership This well-designed high floor 639-square-foot one-bedroom condo has a balcony that extends the living space outdoors. The Perrie is a full-service development with a streamlined purchase process and uniquely flexible ownership polic
nyc,top_negative,-1.6873146848364295,234 E 46th St #801,10017,990000.0,New Development - Immediate Occupancy - Unrivaled Ease of Ownership This well-designed 639-square-foot one-bedroom condo has a balcony that extends the living space outdoors. The Perrie is a full-service development with a streamlined purchase process and uniquely flexible ownership policies. Though
nyc,top_negative,-1.6873146848364295,234 E 46th St #1801,10017,1080000.0,New Development - Immediate Occupancy - Unrivaled Ease of Ownership This well-designed 639-square-foot one-bedroom condo has a balcony that extends the living space outdoors. The Perrie is a full-service development with a streamlined purchase process and uniquely flexible ownership policies. Though
nyc,top_negative,-1.68245440585925,234 E 46th St #1501,10017,1095000.0,New Development - Immediate Occupancy - Unrivaled Ease of Ownership This well-designed 582-square-foot one-bedroom condo has a oversized 137 square-foot balcony that extends the living space outdoors. The Perrie is a full-service development with a streamlined purchase process and uniquely flexible 
nyc,top_negative,-1.6531740125075591,15 E 69th St Unit 10D,10021,5395000.0,Exquisite Elegance! Madison Ave shopping at your fingertips! Rarely available is this stunning corner six-room apartment with gorgeous open city and Central Park views ! Brilliant south and west light streams throughout the apartment all day long. Oversized windows line each and every room from this
nyc,top_negative,-1.6255068065100267,60 E 8th St Unit 14L,10003,1350000.0,"Perched on a high floor in the heart of Greenwich Village, Residence 14L is an oversized one-bedroom, one-bath condop offering open Eastern exposures and beautiful natural light throughout. This meticulously renovated home features approximately 9-foot ceilings, recessed lighting, a gracious separat"
sf,top_positive,2.924147439112082,1504 Noe St,94131,1575000.0,"Located in the heart of highly desirable Noe Valley, this charming cottage residence blends timeless character with thoughtful contemporary updates. updates. The exterior immediately captivates with its enchanting presence, featuring a garage designed in the style of a classic carriage house with a "
sf,top_positive,2.4840778555556673,715 Ulloa St,94127,2295000.0,"Magnificent Craftsman home tucked away on wonderful block, just steps from West Portal Village shops, restaurants, coffee houses & Muni Station! A delightful garden entrance w/ inviting walkway & brick staircase leads to a classic portico w/ notable front door & into a gracious foyer w/ ideal center"
sf,top_positive,2.3247436424555668,151 Shawnee Ave,94112,1188000.0,"Exceptional center patio Spanish Mediterranean style home with front balcony located close to Balboa Bart. This home features a generous entry hall with closet, living room with corner fireplace , separate formal dining room , separate breakfast room , updated built-in kitchen with stainless steel r"
sf,top_positive,2.2791535437010015,25 Crestmont Dr,94131,2195000.0,"This spacious and open 4-bedroom, 3-bath home is filled with natural light and has been recently remodeled. The main level features beautiful red oak floors , while the lower level boasts vinyl hardwood . The home includes stainless steel appliances and an open floor plan that offers lovely views fr"
sf,top_positive,2.2485569545795836,4245 25th St,94114,1895000.0,"Lovely Victorian home in a sought-after Noe Valley location with hillside views and a private, walkout garden. Upon entrance, clear sight lines to the green garden creates a warm welcome to the home. A bright living room with Noe Valley views opens to a formal dining room with box beam ceilings and "
sf,top_positive,2.1848037146780945,554 Mangels Ave,94127,1595000.0,"Discover this stunningly refreshed gem in desirable Sunnyside, boasting a functional floor plan with 4 bedrooms and 3 full baths. Your dream home blends style, comfort, and modern upgrades. The main level delivers three generous bedrooms (including a primary suite with French doors to the rear deck)"
sf,top_positive,2.1230398770309726,988 Fulton St #311,94117,1188000.0,"Welcome to #311 a 2 level corner unit offers 2 Bedrooms, 2 Bathrooms & deeded parking. The first level features a Bedroom w/ upgraded closet & Bathroom. The upper level includes a living room (with Fireplace) that opens to the customized kitchen which includes under cabinet sliding shelves , stainle"
sf,top_positive,2.116047537034424,2473 Diamond St,94131,2395000.0,"This gorgeous, light-filled home with wood floors throughout offers an ideal, flowing floor plan for entertaining and family living. The chef's kitchen , with ample storage, designer SS appliances, and an adjoining family room, provides plenty of space for creating memorable times with guests. Enjoy"
sf,top_positive,2.0319508848432166,1955 28th Ave,94116,1195000.0,"Spectacular Verdant Views! Refined design, thoughtful upgrades, and quietly luxurious tech make this a rare, one of a kind offering. Enter into this picture perfect 2bd/1ba single-family home and feel instantly calmed and inspired by the sweeping green landscape just beyond your windows. No detail w"
